id,text,language,category,subcategory,priority,duplicate_of
1439,"Canteen ka menu mahino se nahi badla, hume aur variety chahiye.",hinglish,Canteen,menu_variety,2,
1397,"The canteen menu has not changed in months, and students want more variety.",en,Canteen,menu_variety,1,
560,मुझे स्कॉलरशिप एप्लीकेशन के बारे में कोई अपडेट नहीं मिला।,hi,Fees_Accounts,scholarship,2,
1170,Boisar se daily travel ki wajah se students ke liye full college schedule follow karna difficult ho raha hai.,hinglish,Transport,commuting_accessibility,2,
309,the elective course ke internal aur external marks mein mismatch hai.,hinglish,Examinations,marks_discrepancy,3,
857,I cannot access the online journal or digital library resource required for my course.,en,IT_Library,library_digital_resources,1,
38,"Sab departments ka lunch break same hai, canteen mein bohot crowd hota hai, break timing review karo.",hinglish,Academics,timetable_scheduling,2,
628,"Fee payment fail ho gaya lekin Rs. 2,500 account se kat gaya.",hinglish,Fees_Accounts,payment_transaction,3,
214,"DBMS mein meri attendance galat show ho rahi hai, main present tha.",hinglish,Academics,attendance,2,
779,We do not have access to the required software license in the lab.,en,IT_Library,software_license,3,
115,a professor ने क्लास में छात्रों के साथ बहुत बुरा व्यवहार किया।,hi,Academics,faculty_conduct,2,
899,Course ke liye required online journal ya digital library resource access nahi ho raha.,hinglish,IT_Library,library_digital_resources,3,
1526,The exam datesheet has a timing or date conflict with another subject's exam.,en,Examinations,examination_schedule,2,375
338,"रीवैल्यूएशन एप्लीकेशन दिए हुए a week हो गए, कृपया प्रोसेस करें।",hi,Examinations,revaluation,3,
1045,There is not enough two-wheeler parking space for students on campus.,en,Infrastructure,parking_access,2,
1062,कॉलेज में छात्रों के दोपहिया वाहनों के लिए पर्याप्त पार्किंग की जगह नहीं है।,hi,Infrastructure,parking_access,3,
55,The professor is not explaining the elective course concepts clearly and students are struggling to understand.,en,Academics,teaching_quality,2,
297,AI/ML के इंटरनल और एक्सटर्नल मार्क्स में अंतर है।,hi,Examinations,marks_discrepancy,2,
764,the main building mein WiFi 10 days se kaam nahi kar raha hai.,hinglish,IT_Library,wifi_network,2,
1183,The current lecture timings create a conflict for students travelling long distances from Bhiwandi.,en,Transport,transport_academic_conflict,1,
1015,the main building के वॉशरूम नियमित रूप से साफ नहीं किए जा रहे हैं।,hi,Infrastructure,sanitation_cleanliness,2,
1457,कैंटीन में सामान्य समय पर खाना सर्व करने की प्रक्रिया बहुत धीमी है।,hi,Canteen,food_service,3,
312,AI/ML ke marks jo upload hue hain wo answer sheet se match nahi karte.,hinglish,Examinations,marks_discrepancy,3,
730,Wi-Fi in the new wing has not been working for 5 days.,en,IT_Library,wifi_network,2,
1037,Students are facing parking access problems because available parking space has been reduced.,en,Infrastructure,parking_access,3,
1395,Canteen ki prices bina notice ke badha di gayi hain.,hinglish,Canteen,pricing,1,
